instance,algorithm,mae_lb_error,rmse_lb_error,max_lb_error,mae_ub_error,rmse_ub_error,max_ub_error,containment_rate,mean_width_ratio,build_time,run_time,total_time,exact_time,avg_induced_width
asia.lcn,ijgp_cm,0.01229411,0.0261367,0.07140186,0.23264083,0.45092596,0.975,0.0,0.691625,1.6467,3.5769,5.2236,87.8853,2.0
asia.lcn,ijgp_cp,0.00918334,0.01577799,0.03615443,0.23210873,0.44907225,0.97290454,0.0,0.717987,1.5861,3.4325,5.0186,87.8853,2.0
asia.lcn,ijgp_e,0.00021632,0.00061178,0.00173038,0.25704501,0.47524072,0.989,0.0,0.604364,1.6014,0.0167,1.6181,87.8853,2.0
cancer.lcn,approxlp,0.06531077,0.07524542,0.12099999,0.02722899,0.0420511,0.07299999,0.6,1.736663,1.0445,0.0656,1.1101,0.4166,2.0
cancer.lcn,ariel,0.03091699,0.06913236,0.15458466,0.13005953,0.29082187,0.65029746,0.2,1.825021,0.0,1.44,1.44,0.4166,
cancer.lcn,ccte_e,0.06531077,0.07524542,0.12099999,0.15988496,0.18531315,0.27654474,0.0,0.323809,1.0283,0.0869,1.1152,0.4166,2.0
cancer.lcn,ibp,0.28529662,0.29752728,0.4129412,0.20903089,0.21432866,0.29999999,0.0,0.344656,1.1056,0.0174,1.123,0.4166,2.0
cancer.lcn,ijgp_cm,0.05450565,0.0669774,0.12099999,0.02461821,0.03728976,0.07299999,0.4,1.635337,0.9823,2.7682,3.7505,0.4166,2.0
cancer.lcn,ijgp_cp,0.0528408,0.06886103,0.12569648,0.02320278,0.03080082,0.05097106,0.6,1.596891,1.0108,2.0839,3.0947,0.4166,2.0
cancer.lcn,ijgp_e,0.06394208,0.0738129,0.12099999,0.05282264,0.0780376,0.16347318,0.2,1.259708,1.0677,0.4663,1.534,0.4166,2.0
credit.lcn,approxlp,0.24640813,0.3212331,0.69499532,0.14594291,0.16304013,0.28818653,0.727273,22.27294,2.4822,0.7193,3.2015,6971.1453,3.0
credit.lcn,ariel,0.03368081,0.04390818,0.09499533,0.04900749,0.10173151,0.25998069,0.363636,4.832201,0.0,2.7494,2.7494,6971.1453,
credit.lcn,ccte_e,0.13277176,0.23462749,0.69499532,0.17991655,0.25616797,0.70000001,0.0,2.889926,2.3221,17.3102,19.6323,6971.1453,3.0
credit.lcn,ibp,0.09186267,0.1083159,0.19499532,0.075531,0.09010867,0.20000001,0.0,0.654292,2.5011,0.6492,3.1503,6971.1453,3.0
credit.lcn,ijgp_cm,0.12146335,0.17017437,0.4165897,0.08641422,0.1117679,0.25998068,0.090909,11.347285,2.2037,0.8348,3.0385,6971.1453,3.0
credit.lcn,ijgp_cp,0.07645582,0.09476895,0.19980842,0.09551091,0.13648265,0.30415639,0.090909,5.730399,2.2605,0.8591,3.1196,6971.1453,3.0
credit.lcn,ijgp_e,0.23954413,0.31605789,0.69499532,0.09800226,0.12399158,0.25998068,0.363636,16.643661,2.466,9.8198,12.2858,6971.1453,3.0
earthquake.lcn,approxlp,0.00406162,0.00534955,0.00832299,3e-08,3e-08,5e-08,0.0,1.123951,1.0105,0.0515,1.062,0.3366,2.0
earthquake.lcn,ariel,3e-08,5e-08,1e-07,0.00062933,0.00081749,0.00119197,0.6,1.018538,0.0,0.7236,0.7236,0.3366,
earthquake.lcn,ccte_e,0.08330336,0.18036877,0.40320002,0.10509358,0.18431179,0.40584891,0.0,0.206849,0.9374,0.0066,0.944,0.3366,2.0
earthquake.lcn,ibp,0.38476404,0.40525362,0.49000001,0.38171726,0.39707955,0.47999999,0.0,0.520067,1.0194,0.0158,1.0352,0.3366,2.0
earthquake.lcn,ijgp_cm,0.00279629,0.00414182,0.00817299,0.00397439,0.00553514,0.00979597,0.0,1.017399,0.8984,0.0704,0.9688,0.3366,2.0
earthquake.lcn,ijgp_cp,0.00436982,0.0056331,0.00802658,0.00081351,0.00120847,0.00253356,0.2,1.096547,0.8942,0.0496,0.9438,0.3366,2.0
earthquake.lcn,ijgp_e,0.00406162,0.00534955,0.00832299,0.04079228,0.04950652,0.08434241,0.0,0.0,1.0,0.008,1.008,0.3366,2.0
engine.lcn,approxlp,0.45133333,0.49620202,0.8,0.07844454,0.10413026,0.18,0.0,0.577117,2.2806,0.4843,2.7649,1059.536,2.0
engine.lcn,ariel,0.39222227,0.47402535,0.79999999,0.0786666,0.10186265,0.19999999,0.0,0.468454,0.0,2.538,2.538,1059.536,
engine.lcn,ccte_e,0.48033333,0.51707822,0.8,0.14822231,0.21461548,0.552,0.0,0.537722,2.1257,0.9187,3.0444,1059.536,2.0
engine.lcn,ibp,0.49444444,0.52613954,0.8,0.12107701,0.13360531,0.2,0.0,0.499065,2.2889,0.0448,2.3337,1059.536,2.0
engine.lcn,ijgp_cm,0.35794747,0.46921977,0.85,0.21828217,0.28603787,0.59997525,0.0,0.373827,2.0404,6.7542,8.7946,1059.536,2.0
engine.lcn,ijgp_cp,0.37440242,0.46681661,0.81818182,0.2468239,0.2970918,0.58728886,0.0,0.320169,2.0405,14.795,16.8355,1059.536,2.0
engine.lcn,ijgp_e,0.34666667,0.44860277,0.8,0.55022231,0.61071047,1.0,0.0,0.0,2.1485,0.1546,2.3031,1059.536,2.0
hepatitis.lcn,approxlp,0.19550254,0.25308771,0.41474999,0.21928017,0.27121549,0.4208,0.0,1.082158,3.7891,1.0154,4.8045,5601.9061,3.0
hepatitis.lcn,ariel,0.14505983,0.21918264,0.41800002,0.12560008,0.20998479,0.42000005,0.2,0.681274,0.0,3.0295,3.0295,5601.9061,
hepatitis.lcn,ibp,0.2642714,0.32966658,0.5,0.29166667,0.34658553,0.5,0.0,0.156724,3.9688,1.1989,5.1677,5601.9061,3.0
hepatitis.lcn,ijgp_cm,0.76474015,0.81474471,1.0,0.89666667,0.91293179,1.0,0.0,-2.794198,3.6726,2.814,6.4866,5601.9061,3.0
hepatitis.lcn,ijgp_cp,0.76474015,0.81474471,1.0,0.89666667,0.91293179,1.0,0.0,-2.794198,3.6723,2.826,6.4983,5601.9061,3.0
suicide.lcn,approxlp,0.25049301,0.32703284,0.7,0.10361464,0.12643649,0.2,0.0,0.655026,2.0506,0.5305,2.5811,5196.4448,2.0
suicide.lcn,ariel,0.25000005,0.37282703,0.69999999,0.09980005,0.14187459,0.29999999,0.1,0.576533,0.0,2.9682,2.9682,5196.4448,
suicide.lcn,ccte_e,0.2584972,0.33362192,0.7,0.2345988,0.32824052,0.79,0.0,0.448237,2.1386,389.1287,391.2673,5196.4448,2.0
suicide.lcn,ibp,0.3548595,0.42677995,0.7,0.36345837,0.39188077,0.5,0.0,0.061682,2.2235,0.0671,2.2906,5196.4448,2.0
suicide.lcn,ijgp_cm,0.28044198,0.34545979,0.7,0.15119371,0.1719006,0.2188,0.0,0.522243,1.9955,0.328,2.3235,5196.4448,2.0
suicide.lcn,ijgp_cp,0.27229528,0.33217423,0.65144051,0.17192604,0.20100333,0.36430333,0.0,0.502723,1.9622,0.296,2.2582,5196.4448,2.0
suicide.lcn,ijgp_e,0.26405336,0.33962511,0.7,0.22556151,0.29866706,0.63808,0.0,0.483185,2.1806,0.3308,2.5114,5196.4448,2.0
tank.lcn,approxlp,0.38172045,0.43094889,0.8,0.0568141,0.07466609,0.159976,0.1,0.912151,2.5484,0.9566,3.505,5709.8443,3.0
tank.lcn,ariel,0.39700002,0.4709671,0.79999999,0.11400004,0.1753853,0.39999999,0.2,0.450286,0.0,3.9135,3.9135,5709.8443,
tank.lcn,ibp,0.47266812,0.50191657,0.8,0.29165675,0.34517357,0.5,0.0,0.141675,2.6938,0.0868,2.7806,5709.8443,3.0
tank.lcn,ijgp_cm,0.92,0.95078915,1.0,0.926,0.93614102,1.0,0.0,-2.003571,2.4077,0.4646,2.8723,5709.8443,3.0
tank.lcn,ijgp_cp,0.92,0.95078915,1.0,0.926,0.93614102,1.0,0.0,-2.003571,2.4683,0.3819,2.8502,5709.8443,3.0
toy.lcn,approxlp,0.08909999,0.16280798,0.32399999,0.07449999,0.10575914,0.16199996,0.5,1.650937,0.7338,0.0335,0.7673,0.1294,2.0
toy.lcn,ariel,3e-08,5e-08,1e-07,2e-08,5e-08,9e-08,0.75,1.0,0.0,0.4972,0.4972,0.1294,
toy.lcn,ccte_e,0.08909999,0.16280798,0.32399999,0.0515,0.08393448,0.16199996,0.25,1.425937,0.7302,0.107,0.8372,0.1294,2.0
toy.lcn,ibp,0.1256029,0.16583563,0.30000001,0.15301455,0.18718,0.30000001,0.25,0.255652,0.8045,0.0144,0.8189,0.1294,2.0
toy.lcn,ijgp_cm,0.06667499,0.12527857,0.24999999,0.03535416,0.05035479,0.07916666,0.5,1.442298,0.6672,0.0503,0.7175,0.1294,2.0
toy.lcn,ijgp_cp,0.07881933,0.12197227,0.23736263,0.03620661,0.03992868,0.06233765,0.5,1.424307,0.7172,0.0505,0.7677,0.1294,2.0
toy.lcn,ijgp_e,0.08909999,0.16280798,0.32399999,0.04699999,0.08203656,0.16199996,0.5,1.513437,0.7072,0.0168,0.724,0.1294,2.0
